Country,Agricultural Land( %),Land Area(Km2),Co2-Emissions,CPI,Currency-Code,GDP,Gross tertiary education enrollment (%),Maternal mortality ratio,Minimum wage,Official language,Population,Unemployment rate,Urban_population
Kuwait,0.084,17818,98734,126.6,KWD,1.35E+11,0.544,12,0.95,Modern Standard Arabic,4207083,0.0218,4207083
Kyrgyzstan,0.55,199951,9787,155.68,KGS,8454619608,0.413,60,0.09,Russian,6456900,0.0633,2362644
Laos,0.103,236800,17763,135.87,LAK,18173839128,0.15,185,0.83,Lao,7169455,0.0063,2555552
Latvia,0.311,64589,7004,116.86,EUR,34117202555,0.881,19,2.8,Latvian,1912789,0.0652,1304943
Lebanon,0.643,10400,24796,130.02,LBP,53367042272,0.263,29,2.15,Arabic,6855713,0.0623,6084994
Lesotho,0.776,30355,2512,155.86,,2460072444,0.102,544,0.41,English,2125268,0.2341,607508
Liberia,0.28,111369,1386,223.13,,3070518100,0.119,661,0.17,English,4937374,0.0281,2548426
Libya,0.087,1759540,50564,125.71,LYD,52076250948,0.605,72,1.88,Arabic,6777452,0.1856,5448597
Liechtenstein,0.322,160,51,,CHF,6552858739,0.356,,,German,38019,,5464
Lithuania,0.472,65300,12963,118.38,EUR,54219315600,0.724,8,2.41,Lithuanian,2786844,0.0635,1891013
Luxembourg,0.537,2586,8988,115.09,EUR,71104919108,0.192,5,13.05,Luxembourgish,645397,0.0536,565488
Madagascar,0.712,587041,3905,184.33,MGA,14083906357,0.054,335,0.21,French,26969307,0.0176,10210849
Malawi,0.614,118484,1298,418.34,MWK,7666704427,0.008,349,0.12,English,18628747,0.0565,3199301
Malaysia,0.263,329847,248289,121.46,MYR,3.65E+11,0.451,29,0.93,Malaysian language,32447385,0.0332,24475766
Maldives,0.263,298,1445,99.7,,5729248472,0.312,53,,Divehi,530953,0.0614,213645
Mali,0.338,1240192,3179,108.73,XOF,17510141171,0.045,562,0.23,French,19658031,0.0722,8479688
Malta,0.324,316,1342,113.45,EUR,14786156563,0.543,6,5.07,Maltese,502653,0.0347,475902
Marshall Islands,0.639,181,143,,USD,221278000,0.237,,2,Marshallese,58791,,45514
Mauritania,0.385,1030700,2739,135.02,MRU,7593752450,0.05,766,0.53,Arabic,4525696,0.0955,2466821
